ind	pop	k1	k2	k3
IND1	1	0.0060	0.0140	0.9800
IND2	1	0.0353	0.0040	0.9603
IND3	1	0.0263	0.0217	0.9523
IND4	1	0.0060	0.0457	0.9483
IND5	1	0.0070	0.0120	0.9810
IND6	1	0.0040	0.0140	0.9823
IND7	1	0.0363	0.2690	0.6947
IND8	1	0.0520	0.0383	0.9097
IND9	1	0.0140	0.0217	0.9640
IND10	1	0.0117	0.0040	0.9840
IND11	1	0.0050	0.0080	0.9870
IND12	1	0.0223	0.0080	0.9690
IND13	1	0.0100	0.0380	0.9520
IND14	1	0.0410	0.3640	0.5947
IND15	1	0.0070	0.0060	0.9870
IND16	1	0.0070	0.0070	0.9860
IND17	1	0.0070	0.0580	0.9347
IND18	1	0.0507	0.0160	0.9333
IND19	1	0.0080	0.1407	0.8513
IND20	2	0.9647	0.0227	0.0130
IND21	2	0.9927	0.0030	0.0050
IND22	2	0.9840	0.0060	0.0100
IND23	2	0.9890	0.0050	0.0060
IND24	2	0.8053	0.1897	0.0050
IND25	2	0.9673	0.0150	0.0180
IND26	2	0.9900	0.0030	0.0067
IND27	2	0.6063	0.0170	0.3770
IND28	2	0.9837	0.0070	0.0090
IND29	2	0.9850	0.0060	0.0090
IND30	2	0.9880	0.0060	0.0060
IND31	3	0.0100	0.9593	0.0307
IND32	3	0.0700	0.8257	0.1040
IND33	3	0.0040	0.9910	0.0050
IND34	3	0.0257	0.9560	0.0190
IND35	3	0.0703	0.7153	0.2150
IND36	3	0.0417	0.8917	0.0667
IND37	3	0.0070	0.9817	0.0110
IND38	4	0.0090	0.9850	0.0063
IND39	4	0.0127	0.8997	0.0880
IND40	4	0.0030	0.9910	0.0050
IND41	4	0.0070	0.5453	0.4477
IND42	4	0.0043	0.9867	0.0090
IND43	4	0.0090	0.9707	0.0200
IND44	4	0.0110	0.5243	0.4647
IND45	4	0.0060	0.9710	0.0227
IND46	4	0.0080	0.9753	0.0163
IND47	5	0.0130	0.0040	0.9830
IND48	5	0.0070	0.0040	0.9880
IND49	5	0.0057	0.0077	0.9870
IND50	5	0.0053	0.0080	0.9870
IND51	5	0.0040	0.0060	0.9890
IND52	5	0.0110	0.0110	0.9780
IND53	5	0.0150	0.0900	0.8947
IND54	5	0.0923	0.0177	0.8900
IND55	5	0.4180	0.0887	0.4933
IND56	5	0.0087	0.0080	0.9830
IND57	5	0.0090	0.0060	0.9850
IND58	5	0.0187	0.0160	0.9660
IND59	5	0.0313	0.2267	0.7420
IND60	6	0.0247	0.0130	0.9623
IND61	6	0.0130	0.2313	0.7557
IND62	6	0.0833	0.0853	0.8317
IND63	6	0.0327	0.3870	0.5800
IND64	6	0.0050	0.0370	0.9583
IND65	6	0.0183	0.0577	0.9240
IND66	6	0.0483	0.0500	0.9013
IND67	6	0.0070	0.0580	0.9350
IND68	6	0.0060	0.0040	0.9907
IND69	6	0.0170	0.0080	0.9753
IND70	6	0.0350	0.4763	0.4887
IND71	6	0.7517	0.0040	0.2447
IND72	6	0.0040	0.0040	0.9920
IND73	6	0.0090	0.0120	0.9783
IND74	7	0.0090	0.4483	0.5430
IND75	7	0.0090	0.0080	0.9830
IND76	7	0.0250	0.0180	0.9570
IND77	7	0.1087	0.0343	0.8570
IND78	7	0.0690	0.0080	0.9230
IND79	7	0.5993	0.0090	0.3917
IND80	7	0.0160	0.0050	0.9780
IND81	7	0.2570	0.0093	0.7333
IND82	8	0.0050	0.9673	0.0277
IND83	8	0.0040	0.9900	0.0060
IND84	8	0.0130	0.8490	0.1377
IND85	8	0.0050	0.9880	0.0060
IND86	8	0.0040	0.9790	0.0177
IND87	8	0.0040	0.9920	0.0040
IND88	8	0.0050	0.9890	0.0060
IND89	8	0.0070	0.9860	0.0080
IND90	8	0.0050	0.9860	0.0090
IND91	8	0.0040	0.9907	0.0060
IND92	8	0.0060	0.9850	0.0090
IND93	8	0.0130	0.9757	0.0110
IND94	8	0.0050	0.9830	0.0120
IND95	8	0.0040	0.9910	0.0050
IND96	8	0.0030	0.9913	0.0050
IND97	8	0.0080	0.9810	0.0110
IND98	9	0.0090	0.0737	0.9173
IND99	9	0.0050	0.0450	0.9507
IND100	9	0.0050	0.0050	0.9900
IND101	9	0.0810	0.0197	0.8987
IND102	9	0.0050	0.0067	0.9887
IND103	9	0.0180	0.0227	0.9593
IND104	9	0.0080	0.0060	0.9860
IND105	9	0.0120	0.0380	0.9500
IND106	9	0.0297	0.0040	0.9667
IND107	10	0.0647	0.0260	0.9093
IND108	10	0.0573	0.3087	0.6340
IND109	10	0.0063	0.0237	0.9697
IND110	10	0.0070	0.0093	0.9833
IND111	11	0.0060	0.9880	0.0060
IND112	11	0.0040	0.9920	0.0040
IND113	11	0.0040	0.9930	0.0030
IND114	11	0.0060	0.9900	0.0040
IND115	11	0.0030	0.9930	0.0040
IND116	11	0.0110	0.9693	0.0197
IND117	11	0.0200	0.9143	0.0657
IND118	11	0.0050	0.9900	0.0050
IND119	11	0.0080	0.9863	0.0057
IND120	11	0.0040	0.9880	0.0080
IND121	11	0.0040	0.9910	0.0050
IND122	11	0.0030	0.9913	0.0050
IND123	11	0.1360	0.8590	0.0050
IND124	11	0.0030	0.9930	0.0040
IND125	11	0.0050	0.9917	0.0030
IND126	11	0.0030	0.9937	0.0040
IND127	11	0.0080	0.9860	0.0070
IND128	11	0.0080	0.9820	0.0093
IND129	11	0.0030	0.9930	0.0040
IND130	11	0.0180	0.7683	0.2137
IND131	12	0.9830	0.0120	0.0040
IND132	12	0.9840	0.0120	0.0047
IND133	12	0.9820	0.0050	0.0130
IND134	12	0.8917	0.0797	0.0287
IND135	12	0.8740	0.0130	0.1130
IND136	12	0.9850	0.0100	0.0060
IND137	13	0.0050	0.0050	0.9900
IND138	13	0.0070	0.0050	0.9880
IND139	13	0.0060	0.0140	0.9807
IND140	13	0.0053	0.0060	0.9890
IND141	13	0.0080	0.0150	0.9770
IND142	13	0.0173	0.0050	0.9780
IND143	13	0.0070	0.0060	0.9873
IND144	13	0.0060	0.0120	0.9820
IND145	13	0.0060	0.0050	0.9890
IND146	13	0.0327	0.0070	0.9607
IND147	13	0.0080	0.0350	0.9580
IND148	13	0.0087	0.0070	0.9840
IND149	13	0.0110	0.0357	0.9530
IND150	14	0.0330	0.1050	0.8623
IND151	14	0.0030	0.0090	0.9870
IND152	14	0.0030	0.0070	0.9900
IND153	14	0.0030	0.0040	0.9930
IND154	14	0.0060	0.0040	0.9900
IND155	14	0.0030	0.0050	0.9910
IND156	14	0.0040	0.0050	0.9900
IND157	14	0.0030	0.0060	0.9910
IND158	14	0.0040	0.0060	0.9910
IND159	14	0.0040	0.0550	0.9410
IND160	14	0.0030	0.0060	0.9910
IND161	15	0.0030	0.9900	0.0070
IND162	15	0.0057	0.9753	0.0190
IND163	15	0.0030	0.9910	0.0060
IND164	15	0.0030	0.9920	0.0050
IND165	15	0.0030	0.9900	0.0070
IND166	15	0.0080	0.9543	0.0377
IND167	15	0.0030	0.9920	0.0050
IND168	15	0.0030	0.9890	0.0080
IND169	15	0.0030	0.9890	0.0080
IND170	15	0.1520	0.6810	0.1677
IND171	16	0.9940	0.0030	0.0030
IND172	16	0.9930	0.0030	0.0040
IND173	16	0.9567	0.0050	0.0380
IND174	16	0.2157	0.0347	0.7497
IND175	16	0.7230	0.0180	0.2593
IND176	16	0.9880	0.0060	0.0070
IND177	16	0.9840	0.0050	0.0110
IND178	16	0.9910	0.0037	0.0050
IND179	16	0.9683	0.0250	0.0070
IND180	16	0.9863	0.0050	0.0090
IND181	16	0.9890	0.0030	0.0077
IND182	16	0.9870	0.0040	0.0087
